,IRMS_C.2,IRMS_C.1.1,IRMS_C.1,I2,IRMS_B.1,IRMS_B.2,I1,IRMS_B.3,I3,V1,V2,V3,P1,P2,P3,Q1,Q2,Q3,TIMESTAMP,LOG(I1),LOG(I2),LOG(I3),I1_diff(2),I2_diff(2),I3_diff(2)
52,137.444,137.444,137.444,169.54210675299998,154.486667876,170.767978491,0.922,0.8420000000000001,0.897,241.374,242.823,244.259,144.63,134.27200000000002,137.444,169.54210675299998,154.486667876,170.767978491,01-09-2020 00:00:52,-0.08121005542554317,5.133101313391835,-0.10869941692334091,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
53,137.444,137.444,137.444,169.54210675299998,154.486667876,170.767978491,0.922,0.8420000000000001,0.897,241.374,242.823,244.259,144.63,134.27200000000002,137.444,169.54210675299998,154.486667876,170.767978491,01-09-2020 00:00:53,-0.08121005542554317,5.133101313391835,-0.10869941692334091,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
54,136.109,136.109,136.109,168.932713126,153.851517827,170.446931999,0.916,0.836,0.892,241.19,242.632,244.081,142.965,132.65200000000002,136.109,168.932713126,153.851517827,170.446931999,01-09-2020 00:00:54,-0.08773891430800675,5.1295004884580075,-0.11428914640212766,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
55,136.109,136.109,136.109,168.932713126,153.851517827,170.446931999,0.916,0.836,0.892,241.19,242.632,244.081,142.965,132.65200000000002,136.109,168.932713126,153.851517827,170.446931999,01-09-2020 00:00:55,-0.08773891430800675,5.1295004884580075,-0.11428914640212766,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
56,135.49200000000002,135.49200000000002,135.49200000000002,168.813367804,154.156910157,170.120065716,0.916,0.835,0.89,241.234,242.665,244.124,142.864,132.208,135.49200000000002,168.813367804,154.156910157,170.120065716,01-09-2020 00:00:56,-0.08773891430800675,5.128793772177904,-0.11653381625595151,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
57,136.496,136.496,136.496,169.090112366,153.92813285100002,170.483449358,0.918,0.838,0.893,241.30900000000003,242.742,244.206,143.47899999999998,133.07299999999998,136.496,169.090112366,153.92813285100002,170.483449358,01-09-2020 00:00:57,-0.08555788836164654,5.1304317820837975,-0.11316869810563798,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
58,135.346,135.346,135.346,169.329601495,154.348483227,170.830313325,0.916,0.835,0.8909999999999999,241.278,242.71400000000003,244.18,142.542,132.02,135.346,169.329601495,154.348483227,170.830313325,01-09-2020 00:00:58,-0.08773891430800675,5.131847120252169,-0.11541085151132785,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
59,136.852,136.852,136.852,169.466054112,154.017930539,170.47978430700002,0.92,0.8390000000000001,0.894,241.261,242.644,244.195,143.798,133.507,136.852,169.466054112,154.017930539,170.47978430700002,01-09-2020 00:00:59,-0.08338160893905101,5.132652636037982,-0.11204950380862289,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
60,136.716,136.716,136.716,169.51407846,154.49985331,171.207067536,0.919,0.838,0.895,241.391,242.812,244.317,143.457,133.211,136.716,169.51407846,154.49985331,171.207067536,01-09-2020 00:01:00,-0.08446915662644996,5.132935982132379,-0.11093156070728166,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
61,138.096,138.096,138.096,169.52729217799998,153.97728903700002,170.678159407,0.922,0.841,0.898,241.449,242.853,244.375,145.003,134.548,138.096,169.52729217799998,153.97728903700002,170.678159407,01-09-2020 00:01:01,-0.08121005542554317,5.133013929658262,-0.10758521067993743,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
62,136.217,136.217,136.217,169.51583523,154.164987499,171.030355975,0.918,0.836,0.893,241.382,242.792,244.318,143.078,132.56799999999998,136.217,169.51583523,154.164987499,171.030355975,01-09-2020 00:01:02,-0.08555788836164654,5.132946345642671,-0.11316869810563798,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
63,136.194,136.194,136.194,169.203307966,153.953581374,170.55337602,0.918,0.8370000000000001,0.893,241.35,242.772,244.291,143.194,132.74,136.194,169.203307966,153.953581374,170.55337602,01-09-2020 00:01:03,-0.08555788836164654,5.13110099760749,-0.11316869810563798,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
64,138.099,138.099,138.099,169.383489244,154.079141006,170.68186722299998,0.922,0.841,0.897,241.329,242.752,244.275,144.88,134.637,138.099,169.383489244,154.079141006,170.68186722299998,01-09-2020 00:01:04,-0.08121005542554317,5.132165311375736,-0.10869941692334091,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
65,136.585,136.585,136.585,168.994158243,153.936184178,170.594610322,0.916,0.836,0.893,241.292,242.712,244.247,143.017,132.725,136.585,168.994158243,153.936184178,170.594610322,01-09-2020 00:01:05,-0.08773891430800675,5.129864147716167,-0.11316869810563798,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
66,137.316,137.316,137.316,169.553263169,154.037542281,171.05780012,0.919,0.838,0.8959999999999999,241.4,242.872,244.39,143.872,133.524,137.316,169.553263169,154.037542281,171.05780012,01-09-2020 00:01:06,-0.08446915662644996,5.133167114443655,-0.10981486600720669,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
67,135.505,135.505,135.505,169.158756181,153.87966227799998,171.030999121,0.914,0.833,0.8909999999999999,241.302,242.75,244.281,142.02100000000002,131.619,135.505,169.158756181,153.87966227799998,171.030999121,01-09-2020 00:01:07,-0.08992470752798701,5.130837659662855,-0.11541085151132785,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
68,136.643,136.643,136.643,168.823771191,153.391508432,170.667052299,0.917,0.836,0.894,241.229,242.688,244.189,143.253,132.964,136.643,168.823771191,153.391508432,170.667052299,01-09-2020 00:01:08,-0.08664780672567216,5.128855396838237,-0.11204950380862289,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
